run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,36.912149,57.952826,1.023063,1.057324,5,0.517311,-1.704818,2.044188,-1.646743,2.099210,-1.816363,1.993242
2,1,38.982798,55.990704,1.070896,1.062497,5,0.508082,-1.399446,1.197813,-1.420523,1.274987,-1.456799,1.078304
3,1,43.286821,58.508721,1.121399,1.083562,7,0.595110,-0.578761,0.850062,-0.656741,0.867925,-0.536084,0.708419
4,1,39.958785,56.638076,1.145587,1.141924,8,0.674682,0.253719,1.196578,0.201150,1.136275,0.400282,1.117665
5,1,37.522106,60.091445,1.079849,1.117738,9,0.594768,0.488648,2.065955,0.516981,1.991140,0.665104,2.125526
