run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,51.654719,75.701123,2.780639,2.686616,10,3.741961,1.615756,0.560612,1.695487,0.554062,1.893132,0.584667
2,1,54.332398,83.130317,2.262196,2.250724,11,2.554262,1.517375,2.512658,1.560799,2.579847,1.671600,2.746350
3,1,65.399856,89.874868,2.708998,2.802532,11,3.496398,0.675781,4.394726,0.637059,4.464730,0.588969,4.658863
4,1,63.550874,86.847095,2.269035,2.305269,10,2.483326,-1.359714,4.097970,-1.439706,4.096895,-1.615418,4.192422
5,1,65.845788,99.290070,2.423435,2.356572,10,2.857610,-2.762002,2.868717,-2.798828,2.797696,-2.987904,2.732502
