run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,70.513425,96.196201,2.419996,2.462578,11,2.819279,-1.347838,4.267227,-1.427812,4.269271,-1.600579,4.370026
2,1,57.308230,85.983197,3.093140,3.010968,9,4.656750,-3.336101,3.186406,-3.375667,3.116875,-3.566614,3.057382
3,1,74.802150,111.603932,2.544770,2.480339,12,3.153158,-2.895039,0.979140,-2.852432,0.911429,-2.937396,0.730374
4,1,72.756286,99.079088,2.991028,3.049034,11,4.296313,-1.606337,-0.960432,-1.526532,-0.954849,-1.450265,-1.139736
5,1,81.368356,112.377258,2.094753,2.164070,14,2.110718,0.444849,0.000330,0.477612,0.073313,0.665517,0.004817
