run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,69.666748,102.098147,2.521996,2.436718,13,3.078213,1.402240,0.690456,1.481971,0.683906,1.679615,0.714511
2,1,78.104821,119.502889,2.041339,2.030987,16,2.079866,1.306418,2.451166,1.349841,2.518355,1.460642,2.684858
3,1,62.818414,86.327357,2.331250,2.411741,11,2.589291,0.503283,4.044066,0.464561,4.114071,0.416470,4.308203
4,1,72.347827,98.868800,1.900682,1.931034,11,1.742491,-1.223397,3.749446,-1.303390,3.748371,-1.479101,3.843898
5,1,55.787334,84.122743,2.738732,2.663171,8,3.649550,-3.048078,2.979005,-3.084903,2.907984,-3.273979,2.842791
