run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,75.045279,115.024737,1.741354,1.731511,15,1.513164,1.022799,2.351283,1.067092,2.417902,1.179553,2.583288
2,1,94.184267,129.526698,1.383214,1.430700,16,0.912988,0.082136,3.156895,0.044328,3.227398,-0.001819,3.422001
3,1,71.628146,97.827613,1.591600,1.617886,11,1.221088,-1.094227,3.462589,-1.174227,3.462554,-1.348974,3.559833
4,1,69.619873,104.804476,1.369808,1.332472,11,0.913077,-1.800678,2.512256,-1.838424,2.441720,-2.028142,2.378420
5,1,60.802792,90.424391,1.627997,1.588035,9,1.290781,-2.072884,1.322928,-2.028532,1.256349,-2.109857,1.073630
