run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,126.166909,198.084621,1.065454,1.101135,22,0.561069,-1.748190,2.050371,-1.690115,2.105392,-1.859735,1.999425
2,1,116.013533,166.629378,1.159750,1.150654,18,0.595892,-1.467526,1.141807,-1.488603,1.218980,-1.524879,1.022298
3,1,133.776057,180.818684,1.081025,1.044550,21,0.553029,-0.576718,0.889020,-0.654698,0.906883,-0.534041,0.747378
4,1,115.470451,163.669244,1.089723,1.086238,20,0.610485,0.214651,1.236259,0.162082,1.175956,0.361214,1.157346
5,1,94.950134,152.062116,0.988642,1.023331,20,0.498540,0.394305,2.062480,0.422638,1.987665,0.570761,2.122052
