run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,107.406390,145.641062,1.216568,1.237583,17,0.686519,-0.843832,0.817990,-0.852627,0.738475,-0.757722,0.562427
2,1,83.891505,116.945449,1.264889,1.231020,15,0.766639,0.053755,0.996576,0.119693,0.951275,0.313654,0.902497
3,1,88.881235,140.206044,1.272823,1.240887,18,0.797332,0.561426,1.769191,0.632494,1.805923,0.799388,1.916134
4,1,79.047935,113.160053,1.299403,1.325006,15,0.838572,0.400512,2.737334,0.401693,2.817325,0.432997,3.014860
5,1,108.418167,146.519804,1.239178,1.279991,17,0.709785,-0.495277,3.190706,-0.565231,3.229519,-0.689872,3.385931
