run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,43.073954,61.949595,1.153207,1.144822,6,0.588741,-1.471256,1.154121,-1.491328,1.231562,-1.529569,1.035252
2,1,45.394368,61.363100,1.247472,1.205340,7,0.735739,-0.597410,0.728130,-0.675151,0.747005,-0.556096,0.586301
3,1,43.674851,61.831865,1.123392,1.119139,8,0.648278,0.230499,1.204314,0.177151,1.144699,0.376087,1.124099
4,1,38.755214,62.185708,1.113241,1.152119,9,0.632906,0.524347,2.056067,0.551705,1.980890,0.701164,2.113789
5,1,43.033026,60.550943,1.061257,1.076914,8,0.503599,0.026029,2.775273,0.105215,2.763889,0.108011,2.963870
