run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,36.356345,55.776361,2.504490,2.546130,5,2.769785,-3.077026,1.197878,-3.054964,1.274776,-3.168287,1.109979
2,1,41.484209,57.073329,2.812347,2.735885,6,3.611122,-1.787502,-0.542020,-1.844869,-0.486262,-1.799739,-0.681103
3,1,40.694608,55.562736,3.358974,3.276255,7,5.569647,0.623052,-1.094747,0.546812,-1.118986,0.721049,-1.217176
4,1,38.164409,57.401724,3.113507,3.176766,8,5.072849,2.361018,0.840931,2.346382,0.762281,2.536429,0.824589
5,1,37.761924,56.205767,3.626861,3.745151,8,6.205539,2.715065,3.618302,2.777482,3.568262,2.859761,3.750553
