run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,44.146329,60.781937,1.128704,1.098404,6,0.581212,-1.052909,0.920436,-1.109546,0.976936,-1.066366,0.781653
2,1,45.053918,61.479970,1.118243,1.090271,8,0.616631,-0.152048,0.948184,-0.228596,0.924939,-0.055350,0.825011
3,1,39.189081,58.844593,1.038055,1.058614,8,0.563886,0.393492,1.622863,0.377835,1.544410,0.568495,1.604815
4,1,40.538291,60.435759,1.001553,1.034488,9,0.474407,0.275592,2.438493,0.337354,2.387646,0.421451,2.569106
5,1,41.520985,56.529724,1.059383,1.049633,7,0.516685,-0.359808,2.921078,-0.285822,2.951510,-0.362972,3.136031
