run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,116.726516,165.090384,0.627571,0.644043,18,0.210080,-1.122817,2.426167,-1.043323,2.417179,-1.242079,2.439451
2,1,108.694520,174.691401,0.630765,0.648707,19,0.189084,-1.294058,1.872232,-1.248597,1.938060,-1.399168,1.806422
3,1,112.220528,158.050982,0.678805,0.667607,17,0.206556,-1.004848,1.377985,-1.041407,1.449143,-1.045885,1.249193
4,1,123.281537,166.753090,0.673337,0.651830,20,0.217995,-0.450003,1.300566,-0.529991,1.301941,-0.385464,1.163696
5,1,108.378692,156.841927,0.737570,0.742226,20,0.282688,0.037326,1.580672,-0.001657,1.510813,0.197897,1.524166
