run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,48.547290,72.794782,0.796616,0.825464,7,0.328796,-1.432824,2.240011,-1.359790,2.272661,-1.550951,2.213862
2,1,48.232292,72.004540,0.731572,0.737055,7,0.232041,-1.276153,1.564014,-1.270446,1.643811,-1.356066,1.463064
3,1,53.482206,72.844961,0.755760,0.731914,8,0.264102,-0.757296,1.210799,-0.824941,1.253509,-0.749346,1.068347
4,1,51.222598,70.722050,0.712478,0.700012,9,0.254808,-0.184039,1.381146,-0.253630,1.341687,-0.065975,1.272509
5,1,46.398683,71.762328,0.635810,0.653395,10,0.210789,0.035268,1.885356,0.037189,1.805379,0.214881,1.897170
