run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,58.263550,78.974723,1.146379,1.128991,10,0.608445,-0.451261,3.017152,-0.382367,3.057817,-0.479307,3.232753
2,1,54.046494,75.427458,1.402556,1.357120,8,0.953561,-1.402812,2.961827,-1.406125,3.041758,-1.600638,3.088284
3,1,48.029746,75.930312,0.998169,1.002930,7,0.509046,-1.525406,2.020069,-1.597429,2.054893,-1.763034,1.942754
4,1,52.159316,74.556317,1.261555,1.307298,7,0.766625,-1.513612,1.129910,-1.578319,1.082867,-1.607331,0.884983
5,1,55.130993,74.502807,1.048426,1.055167,9,0.516769,-0.627345,0.974213,-0.616433,0.894961,-0.489987,0.740005
