run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,58.404029,79.165139,1.304745,1.284955,10,0.788163,-0.421196,3.170191,-0.352303,3.210855,-0.449242,3.385792
2,1,55.920318,78.042573,2.069191,2.002159,8,2.075436,-1.785964,3.480740,-1.789277,3.560672,-1.983790,3.607197
3,1,49.717151,78.597933,1.659965,1.667882,8,1.407820,-2.186712,2.089614,-2.258735,2.124438,-2.424340,2.012299
4,1,57.159152,81.703063,2.273812,2.356257,8,2.490459,-2.298603,0.434134,-2.363310,0.387091,-2.392322,0.189206
5,1,59.547117,80.470659,2.281684,2.296354,9,2.447552,-0.646675,-0.266823,-0.635763,-0.346075,-0.509317,-0.501032
