run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,59.045866,84.980390,1.167867,1.172463,11,0.707113,0.359239,1.286732,0.316678,1.218993,0.516606,1.224356
2,1,57.201252,89.553162,0.926559,0.960126,12,0.430329,0.308732,2.169450,0.348345,2.099946,0.479315,2.251098
3,1,62.494353,86.784107,1.011880,1.019225,11,0.462992,-0.118023,2.798215,-0.038050,2.800313,-0.061202,2.998968
4,1,62.462037,84.822324,0.932076,0.902590,10,0.411012,-0.855736,2.753928,-0.819821,2.825413,-0.982039,2.942397
5,1,57.316671,84.665191,0.939730,0.923475,8,0.442035,-1.366673,2.323085,-1.412726,2.388499,-1.608530,2.347742
