run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,53.672690,78.535651,2.330808,2.398521,11,2.489190,1.367295,3.258216,1.436207,3.217582,1.497976,3.407804
2,1,59.139986,80.138222,3.035093,2.987493,10,4.266995,-0.121811,4.845517,-0.053452,4.887074,-0.152136,5.061032
3,1,56.851136,79.421166,2.584834,2.501530,8,3.241005,-2.101599,3.867558,-2.105951,3.947439,-2.300919,3.992017
4,1,51.986743,82.341365,2.603851,2.617818,8,3.464966,-3.133599,2.163855,-3.206069,2.197740,-3.370544,2.083951
5,1,54.969929,78.473514,2.197536,2.277237,8,2.321741,-2.224896,0.470419,-2.288986,0.422539,-2.316017,0.224374
