run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,53.463687,72.895234,0.912605,0.884199,8,0.384465,-0.822004,1.069743,-0.888516,1.114198,-0.816638,0.927560
2,1,51.338773,70.768463,0.928031,0.910886,9,0.431429,-0.094615,1.187218,-0.165209,1.149581,0.021025,1.076664
3,1,46.379515,71.474557,0.765953,0.786510,10,0.306170,0.163527,1.840612,0.163368,1.760612,0.342860,1.848830
4,1,48.168779,70.171322,0.852365,0.876143,10,0.330081,0.059128,2.473047,0.129572,2.435130,0.185608,2.627120
5,1,51.760167,70.080633,0.765830,0.752658,9,0.272067,-0.551249,2.649562,-0.484562,2.693753,-0.588420,2.864673
