run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,51.186957,69.855253,0.727086,0.730206,8,0.276607,-0.913739,2.684269,-0.849840,2.636135,-1.023245,2.735787
2,1,47.429615,71.237103,0.691596,0.716662,7,0.247471,-1.335016,2.189925,-1.262412,2.223522,-1.452976,2.162814
3,1,47.264526,70.445260,0.821688,0.827362,7,0.293000,-1.353786,1.518923,-1.349117,1.598787,-1.432925,1.417193
4,1,53.252090,72.495683,0.793738,0.768535,8,0.291554,-0.760677,1.174507,-0.828871,1.216335,-0.751428,1.031937
5,1,52.178915,72.102046,0.889257,0.874140,9,0.397343,-0.090823,1.235093,-0.159896,1.194732,0.028442,1.127434
