run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,89.150611,124.296067,0.976646,0.944854,14,0.462039,-1.151338,2.635710,-1.153611,2.715678,-1.347650,2.764146
2,1,77.912782,122.940634,1.082996,1.087517,13,0.599071,-1.608797,2.038792,-1.680361,2.074549,-1.847079,1.964072
3,1,79.678749,114.039515,0.976807,1.012205,12,0.460473,-1.298849,1.332409,-1.364162,1.286211,-1.395151,1.088626
4,1,94.147894,127.233631,1.186677,1.195009,15,0.661666,-0.640440,0.834769,-0.630558,0.755382,-0.505668,0.599169
5,1,81.936184,116.515221,1.366952,1.323601,15,0.898787,0.278921,1.060826,0.353565,1.032049,0.553125,1.018785
