run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,43.605245,70.216783,0.605148,0.622592,7,0.174499,-1.268882,1.879534,-1.222570,1.944766,-1.374450,1.814641
2,1,49.353362,69.587295,0.719808,0.708299,7,0.232096,-1.037971,1.351697,-1.073603,1.423324,-1.080079,1.223429
3,1,51.719476,69.945176,0.668628,0.647150,8,0.214737,-0.456968,1.303516,-0.536931,1.305931,-0.393793,1.166247
4,1,48.368803,69.900176,0.765936,0.770317,10,0.304682,0.056287,1.557351,0.016399,1.488004,0.216077,1.499361
5,1,45.041020,70.125939,0.698090,0.723409,10,0.243036,0.068529,2.152265,0.110822,2.084359,0.237199,2.239371
