run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,55.438117,86.954314,2.863338,2.966965,12,4.116293,2.296341,2.454044,2.335047,2.384031,2.467521,2.533866
2,1,65.259201,90.707541,2.327725,2.345993,12,2.448145,0.632978,3.893111,0.712971,3.894169,0.691807,4.093046
3,1,68.562750,93.070780,2.824238,2.735475,11,3.771559,-1.276486,4.538627,-1.239645,4.609639,-1.400686,4.728239
4,1,60.092785,88.628038,2.192690,2.153679,9,2.404928,-2.439877,2.925540,-2.485076,2.991547,-2.681277,2.952751
5,1,61.485951,93.395109,2.026770,2.082336,9,2.083511,-2.493651,1.293327,-2.573179,1.284654,-2.676961,1.113688
