run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,76.269667,120.122096,0.851308,0.854354,12,0.370055,-1.376618,2.019644,-1.447712,2.056328,-1.615526,1.947524
2,1,80.076569,114.758333,0.865096,0.896418,12,0.361841,-1.216686,1.414284,-1.282593,1.368939,-1.315557,1.171674
3,1,81.309758,109.889326,0.771605,0.777478,13,0.279583,-0.636501,1.252523,-0.627652,1.173014,-0.504331,1.015560
4,1,77.514183,110.092339,0.836795,0.810426,14,0.336733,-0.096057,1.411884,-0.021793,1.382139,0.177625,1.366880
5,1,60.076543,95.902669,0.767919,0.754409,13,0.292252,0.092036,1.939022,0.153324,1.990439,0.299166,2.127297
