run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,60.006734,86.363297,1.038938,1.043027,11,0.559605,0.258041,1.367433,0.215480,1.299694,0.415408,1.305057
2,1,59.864980,93.723442,1.059332,1.097708,13,0.562494,0.444626,2.190936,0.484239,2.121432,0.615209,2.272584
3,1,61.024987,84.743641,1.301091,1.310535,11,0.765474,0.042591,3.041248,0.122563,3.043345,0.099412,3.242001
4,1,71.066566,96.507119,1.263992,1.224007,11,0.755859,-0.934015,3.065667,-0.898100,3.137152,-1.060318,3.254136
5,1,61.012237,90.124088,1.779220,1.748444,9,1.584564,-2.092707,2.714810,-2.138761,2.780225,-2.334564,2.739468
