run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,53.419373,78.164988,1.462722,1.505216,11,0.980322,0.608930,2.786118,0.677842,2.745484,0.739612,2.935706
2,1,55.139628,74.717497,1.848636,1.819644,9,1.583000,-0.335464,3.697377,-0.267104,3.738934,-0.365789,3.912892
3,1,54.392737,75.986776,1.464313,1.417121,8,1.040117,-1.448772,3.001671,-1.453124,3.081553,-1.648092,3.126131
4,1,46.869911,74.236858,2.150431,2.161966,7,2.363294,-2.679793,2.120715,-2.752263,2.154600,-2.916738,2.040811
5,1,52.797466,75.372167,1.618854,1.677568,8,1.259961,-1.780132,0.872648,-1.844222,0.824768,-1.871253,0.626604
