run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,54.739267,76.156892,2.555806,2.577369,10,2.949061,0.783750,4.071365,0.863750,4.071383,0.844576,4.270462
2,1,57.468364,77.981576,2.214598,2.145468,9,2.317800,-1.118558,3.970374,-1.080797,4.040901,-1.240644,4.161105
3,1,53.163872,78.287969,3.108865,3.052036,8,4.831107,-3.212161,3.386055,-3.256499,3.452644,-3.453078,3.415811
4,1,51.944064,79.038043,2.694679,2.767451,8,3.685522,-3.151457,1.099653,-3.231092,1.092014,-3.336578,0.922094
5,1,60.907456,83.515388,3.376238,3.469884,9,5.162923,-2.001650,-1.136573,-2.032521,-1.210377,-1.978322,-1.402893
