run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,93.298234,136.970033,1.257077,1.232891,15,0.788771,-1.618166,2.510623,-1.660757,2.578343,-1.858034,2.545449
2,1,98.600785,150.555254,1.009412,1.035820,16,0.517823,-1.511202,1.654192,-1.591008,1.648626,-1.699871,1.480850
3,1,104.331509,143.256706,1.210354,1.244874,16,0.661753,-1.103732,0.899647,-1.136511,0.826671,-1.086173,0.633109
4,1,110.786889,151.505163,0.994204,0.977902,18,0.471380,-0.282110,1.106826,-0.233261,1.043471,-0.056454,0.949987
5,1,96.284291,145.474210,1.102737,1.067472,19,0.592536,0.321489,1.564442,0.400402,1.577585,0.588710,1.644967
