run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,104.444358,141.209956,0.654498,0.633254,17,0.205338,-0.471028,1.314160,-0.550902,1.318652,-0.410586,1.176134
2,1,106.519107,153.513259,0.691942,0.695077,19,0.248372,-0.010578,1.590376,-0.052255,1.522090,0.147610,1.529451
3,1,90.789275,141.874856,0.696469,0.721717,18,0.242737,0.071186,2.138819,0.111699,2.069835,0.241150,2.222290
4,1,117.864220,163.525542,0.728766,0.733624,20,0.240340,-0.281595,2.562921,-0.201657,2.566058,-0.226794,2.764472
5,1,113.782521,154.577186,0.823687,0.797470,18,0.321153,-0.836926,2.649531,-0.801944,2.721477,-0.965324,2.836832
