run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,65.415098,88.419668,1.318270,1.289417,10,0.810006,-0.590825,3.185076,-0.530429,3.237539,-0.650831,3.397237
2,1,70.503349,99.913344,1.100551,1.068361,11,0.593094,-1.330601,2.634487,-1.348327,2.712498,-1.547429,2.731425
3,1,58.431606,93.606526,1.384965,1.402905,9,0.982100,-1.924899,1.879384,-2.002035,1.900597,-2.150372,1.766447
4,1,72.936717,102.533000,0.913360,0.945702,11,0.390210,-1.158137,1.288072,-1.213261,1.230094,-1.214376,1.030097
5,1,72.348210,97.890573,1.198215,1.195937,12,0.679479,-0.476655,0.839276,-0.451578,0.763308,-0.304747,0.627512
