run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,68.210471,93.963538,0.556255,0.563206,10,0.163681,-0.936220,2.482920,-0.864664,2.447146,-1.050278,2.521626
2,1,59.305170,91.256467,0.523678,0.542277,9,0.138641,-1.190527,2.038815,-1.125204,2.084998,-1.305432,1.998292
3,1,68.181585,99.447628,0.537373,0.536606,10,0.126839,-1.039455,1.577253,-1.049319,1.656642,-1.106967,1.465131
4,1,66.807970,90.474060,0.544848,0.526549,10,0.139054,-0.610492,1.401584,-0.685130,1.430378,-0.582713,1.258591
5,1,69.538017,97.359952,0.476439,0.471894,13,0.115609,-0.247218,1.631616,-0.307845,1.579420,-0.111959,1.539062
