run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,59.831666,87.526897,0.493413,0.493295,9,0.106760,-1.010567,1.609015,-1.018364,1.688634,-1.079830,1.498314
2,1,61.941748,83.930818,0.550519,0.532113,10,0.141709,-0.622650,1.395989,-0.696514,1.426713,-0.597553,1.252912
3,1,65.716627,91.821051,0.510295,0.504858,12,0.132380,-0.233465,1.597964,-0.295428,1.547362,-0.100388,1.503094
4,1,56.030405,88.772843,0.535416,0.552639,12,0.148230,-0.065105,1.977091,-0.049759,1.898577,0.114535,2.012627
5,1,66.281513,94.602482,0.480044,0.490185,12,0.101754,-0.313419,2.302919,-0.236963,2.279371,-0.210247,2.477578
