run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,168.040098,231.484141,0.470031,0.475905,26,0.116870,-0.895195,2.405858,-0.823639,2.370085,-1.009253,2.444564
2,1,105.242004,161.942263,0.454745,0.470896,17,0.104544,-1.121394,2.021045,-1.056071,2.067228,-1.236299,1.980522
3,1,129.116825,188.325954,0.425680,0.425073,21,0.079592,-0.946064,1.638227,-0.955928,1.717617,-1.013576,1.526105
4,1,111.795413,151.397878,0.476029,0.460041,18,0.106145,-0.599739,1.467218,-0.674378,1.496011,-0.571961,1.324225
5,1,111.993084,156.801153,0.420010,0.416004,19,0.089845,-0.281821,1.675507,-0.342447,1.623311,-0.146562,1.582953
