run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,78.788674,107.564995,0.636699,0.615505,12,0.192978,-0.839892,2.451034,-0.814531,2.526908,-0.988612,2.625376
2,1,63.868653,96.036963,0.584373,0.577632,10,0.172184,-1.080490,2.108632,-1.135396,2.166816,-1.325542,2.104810
3,1,67.591584,100.630784,0.563443,0.581300,10,0.159347,-1.047417,1.720583,-1.124632,1.699658,-1.207201,1.517498
4,1,65.707744,89.423086,0.576087,0.588713,10,0.152628,-0.753468,1.464761,-0.771486,1.386817,-0.692788,1.202951
5,1,69.748791,96.435696,0.590187,0.576414,12,0.166615,-0.366604,1.506649,-0.306405,1.453960,-0.117613,1.387947
