run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,68.809308,94.788469,2.868306,2.904151,10,4.352133,-2.036284,4.549289,-1.964728,4.513516,-2.150342,4.587996
2,1,64.553708,99.332711,2.645234,2.739182,10,3.537454,-3.318268,2.585727,-3.252945,2.631911,-3.433173,2.545204
3,1,73.187771,106.749502,3.600365,3.595231,11,5.693692,-3.600547,-0.094870,-3.610410,-0.015480,-3.668058,-0.206992
4,1,77.795017,105.353164,3.253841,3.144559,12,4.959347,-1.033762,-1.181983,-1.108400,-1.153189,-1.005983,-1.324976
5,1,85.855701,120.206288,3.355536,3.323526,15,5.734565,1.518260,-0.607779,1.457634,-0.659975,1.653520,-0.700333
