run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,76.146803,114.308383,0.568895,0.562022,12,0.163082,-1.064647,2.107263,-1.118792,2.166155,-1.309548,2.106054
2,1,66.922537,99.795995,0.523569,0.540001,10,0.137734,-1.012180,1.742248,-1.089660,1.722329,-1.174047,1.541004
3,1,78.167663,106.431519,0.496923,0.508056,12,0.113443,-0.733815,1.543184,-0.752844,1.465480,-0.675988,1.280836
4,1,66.173839,91.416315,0.541171,0.528768,12,0.140062,-0.394747,1.545759,-0.335238,1.492293,-0.147115,1.424395
5,1,63.144857,97.783428,0.491962,0.477921,13,0.118610,-0.208453,1.820188,-0.133222,1.847397,0.043840,1.940396
