run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,110.025715,158.386036,0.485361,0.500624,17,0.125181,-1.071712,2.255957,-0.991905,2.261505,-1.191824,2.255825
2,1,125.095074,195.788545,0.504342,0.515593,21,0.116190,-1.141933,1.795698,-1.109138,1.868667,-1.239867,1.717307
3,1,125.747443,174.596332,0.525517,0.513429,20,0.125061,-0.833562,1.457844,-0.882396,1.521209,-0.858928,1.322591
4,1,152.509364,207.118106,0.486756,0.472894,25,0.115601,-0.405183,1.504655,-0.484099,1.491529,-0.321694,1.374804
5,1,114.142006,168.646526,0.485259,0.492256,21,0.123054,-0.140711,1.792710,-0.166406,1.716949,0.029332,1.758018
