run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,86.555619,132.950930,0.403428,0.417805,14,0.082434,-1.069509,2.012722,-1.003591,2.058052,-1.184677,1.973153
2,1,84.920774,124.045299,0.463365,0.462980,13,0.094231,-0.981349,1.621271,-0.990180,1.700783,-1.049741,1.509857
3,1,92.638169,125.488339,0.434164,0.419613,14,0.088216,-0.597721,1.506845,-0.671979,1.536607,-0.571285,1.363804
4,1,87.957225,123.021474,0.479744,0.474899,16,0.117111,-0.248429,1.625542,-0.309728,1.574139,-0.114256,1.531824
5,1,75.361139,119.626414,0.439936,0.454212,16,0.099990,-0.163724,1.990568,-0.147359,1.912260,0.015786,2.027948
