run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,59.687320,82.065484,1.358625,1.358785,10,0.841834,-0.070602,3.150634,0.008073,3.165132,-0.038693,3.359587
2,1,58.359712,79.720810,1.616640,1.562673,9,1.244862,-1.183653,3.332964,-1.159281,3.409161,-1.334338,3.505883
3,1,55.876805,84.160952,1.213177,1.199848,8,0.742558,-1.660908,2.331759,-1.716566,2.389224,-1.906082,2.325320
4,1,54.620346,81.188528,1.424668,1.470246,8,1.017677,-1.843585,1.325515,-1.920521,1.303589,-2.001264,1.120612
5,1,61.081665,83.088479,0.916421,0.936053,9,0.386629,-0.846692,1.130029,-0.863694,1.051857,-0.783161,0.868787
