run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,47.752381,64.747926,3.450570,3.400030,8,5.509755,0.019327,5.239774,0.088744,5.279540,-0.006441,5.455437
2,1,43.497243,60.644971,3.330302,3.221891,6,5.372433,-2.485506,4.480946,-2.487780,4.560914,-2.681818,4.609382
3,1,53.406258,84.271143,3.331586,3.345492,8,5.669260,-3.851915,2.297389,-3.923479,2.333146,-4.090197,2.222669
4,1,47.124531,67.446575,3.203315,3.319397,7,4.952056,-3.040658,-0.180613,-3.105971,-0.226811,-3.136961,-0.424396
5,1,68.294158,92.294297,2.588209,2.606382,11,3.147549,-0.676530,-0.576142,-0.666649,-0.655529,-0.541759,-0.811743
