run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,53.332984,78.179376,1.532954,1.502739,8,1.172129,-1.843498,2.660494,-1.885206,2.728762,-2.082801,2.697842
2,1,44.214368,67.630425,1.271532,1.304247,6,0.822170,-1.771683,1.587551,-1.851555,1.583023,-1.962090,1.416344
3,1,59.639728,81.949605,1.577342,1.622928,9,1.122352,-1.280328,0.565140,-1.314053,0.492596,-1.265653,0.298541
4,1,48.550292,66.353986,1.716805,1.689527,8,1.405289,-0.030097,0.441511,0.017925,0.377527,0.193788,0.282279
5,1,65.451252,98.721696,1.874537,1.814255,13,1.711551,1.014772,1.287965,1.093849,1.300081,1.282822,1.365576
