run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,65.987170,96.699193,1.110977,1.143661,13,0.567101,0.308520,2.586195,0.376898,2.544668,0.440567,2.734263
2,1,47.250147,64.046343,1.350581,1.330096,8,0.844512,-0.412495,3.214484,-0.343601,3.255149,-0.440541,3.430085
3,1,60.893850,84.983649,1.222066,1.182477,9,0.723931,-1.299075,2.821332,-1.302388,2.901264,-1.496901,2.947789
4,1,42.086641,66.534846,1.611239,1.618923,6,1.326383,-2.138022,2.084493,-2.210045,2.119317,-2.375649,2.007179
5,1,60.638450,86.676357,1.335667,1.384097,9,0.859344,-1.571085,1.078969,-1.635792,1.031926,-1.664804,0.834042
