run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,98.728800,151.282706,1.027299,1.053278,16,0.536971,-1.533714,1.667250,-1.613638,1.663760,-1.725835,1.498195
2,1,146.805621,201.870236,1.002664,1.032014,23,0.452882,-1.028643,1.099929,-1.063308,1.027829,-1.016851,0.833300
3,1,121.248429,165.612910,1.287959,1.268157,20,0.790733,-0.195198,0.829728,-0.148013,0.765125,0.026889,0.668124
4,1,149.159017,224.601319,1.162435,1.124855,28,0.657917,0.366892,1.525475,0.446120,1.536562,0.635738,1.600164
5,1,144.989041,215.568979,1.460892,1.468207,27,1.067082,0.692077,2.518340,0.719717,2.593414,0.800751,2.776262
