run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,57.066259,79.485861,1.641165,1.587496,8,1.303782,-1.516005,3.165701,-1.517239,3.245691,-1.710783,3.296097
2,1,37.056764,58.363126,1.890336,1.897099,5,1.824610,-2.411257,2.149418,-2.482350,2.186102,-2.650164,2.077298
3,1,40.058809,57.408581,1.344727,1.393416,5,0.874294,-1.595133,1.092129,-1.661041,1.046784,-1.694005,0.849519
4,1,40.642494,54.927924,1.771543,1.785029,6,1.473751,-0.672336,0.245610,-0.663488,0.166101,-0.540166,0.008647
5,1,35.664700,50.654087,1.592478,1.542295,7,1.219537,0.426103,0.899067,0.500368,0.869322,0.699785,0.854063
