run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,43.237117,58.635855,0.609675,0.607223,7,0.191717,-0.780241,2.602888,-0.726109,2.543984,-0.883912,2.666859
2,1,40.116429,58.922930,0.653636,0.676418,5,0.224753,-1.260558,2.272980,-1.183073,2.292881,-1.380244,2.259359
3,1,38.469800,58.707442,0.660962,0.670861,5,0.191074,-1.260259,1.675068,-1.241213,1.752768,-1.349541,1.584646
4,1,43.773189,60.091046,0.740337,0.719482,6,0.250819,-0.848513,1.246302,-0.908010,1.299781,-0.857056,1.106381
5,1,43.289731,59.211959,0.766046,0.748107,8,0.290606,-0.241995,1.284584,-0.317232,1.257392,-0.140128,1.164471
