run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,77.949329,122.610886,1.051667,1.086628,13,0.545420,-1.734588,2.036808,-1.677233,2.092580,-1.845785,1.984922
2,1,72.123276,103.452998,1.081327,1.072231,11,0.518419,-1.399108,1.183664,-1.421186,1.260557,-1.455494,1.063521
3,1,88.639530,119.800599,1.150016,1.111262,14,0.626472,-0.568885,0.822888,-0.647091,0.839736,-0.524846,0.681445
4,1,72.184015,102.437374,1.455387,1.451592,13,1.089781,0.480480,0.986825,0.428699,0.925844,0.628008,0.909226
5,1,78.160052,124.933007,1.269794,1.314543,16,0.821362,0.683800,2.085958,0.713103,2.011517,0.859874,2.147378
