run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,45.707520,62.371866,0.679601,0.662601,8,0.227751,-0.297735,1.350274,-0.374283,1.327029,-0.201037,1.227101
2,1,42.063178,63.160209,0.581853,0.593377,9,0.177165,-0.036245,1.801111,-0.051902,1.722658,0.138759,1.783063
3,1,40.606544,60.537512,0.618037,0.638361,9,0.180648,-0.083341,2.270909,-0.021579,2.220062,0.062518,2.401522
4,1,45.019028,61.292217,0.593871,0.588405,8,0.162369,-0.497863,2.480997,-0.423878,2.511428,-0.501027,2.695949
5,1,43.172773,59.649227,0.651033,0.629143,6,0.203916,-0.924001,2.414504,-0.915889,2.494091,-1.104119,2.561689
