run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,50.603442,68.404612,0.876094,0.846505,8,0.362881,-0.575037,1.086267,-0.652778,1.105142,-0.533723,0.944438
2,1,49.750294,70.433061,0.976017,0.972322,9,0.489343,0.128547,1.309959,0.075198,1.250344,0.274135,1.229744
3,1,44.072271,70.717333,0.858009,0.887974,10,0.375963,0.260297,2.048985,0.287655,1.973808,0.437114,2.106706
4,1,54.147137,76.189395,0.916412,0.929932,10,0.375513,-0.070222,2.664189,0.008964,2.652806,0.011760,2.852786
5,1,52.984556,71.678892,0.911925,0.886122,8,0.390797,-0.750003,2.765739,-0.702576,2.830165,-0.848261,2.967191
