run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,42.238578,58.850979,0.613210,0.625228,6,0.200184,-1.039428,2.482376,-0.962874,2.459148,-1.156577,2.508938
2,1,37.026745,58.350708,0.601490,0.621333,5,0.178011,-1.273370,1.968851,-1.216745,2.025363,-1.384212,1.916025
3,1,41.385046,59.284525,0.661729,0.655788,6,0.194292,-1.074929,1.446728,-1.098005,1.523328,-1.130340,1.325959
4,1,43.333961,58.564388,0.714539,0.690497,7,0.242083,-0.543942,1.244035,-0.622361,1.259865,-0.498538,1.102804
5,1,42.818255,60.837786,0.689050,0.687660,8,0.244465,-0.056865,1.531375,-0.107849,1.469726,0.091616,1.455102
