run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,43.463197,59.795990,1.639943,1.595356,6,1.227896,-1.268544,0.473603,-1.325911,0.529361,-1.280781,0.334520
2,1,44.779588,61.140199,1.289260,1.257511,8,0.820532,-0.083584,0.796283,-0.159824,0.772045,0.014413,0.673854
3,1,41.365213,62.215939,1.535856,1.567061,9,1.234393,0.868051,1.442762,0.853416,1.364112,1.043462,1.426421
4,1,41.333152,61.521270,1.229705,1.269812,9,0.713377,0.482734,2.548720,0.545152,2.498679,0.627430,2.680971
5,1,46.180370,62.843113,1.276097,1.263636,8,0.750099,-0.307426,3.128032,-0.233842,3.159423,-0.312833,3.343163
