run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,51.315625,69.591493,0.643603,0.641015,8,0.213648,-0.787259,2.635943,-0.733127,2.577039,-0.890930,2.699914
2,1,48.341243,71.003521,0.569785,0.589645,7,0.170787,-1.185760,2.228994,-1.108275,2.248895,-1.305445,2.215373
3,1,44.182642,67.425613,0.630248,0.639687,6,0.173729,-1.230463,1.684234,-1.211416,1.761933,-1.319745,1.593811
4,1,48.670632,66.814167,0.615727,0.598382,7,0.173491,-0.796670,1.355743,-0.856167,1.409223,-0.805213,1.215823
5,1,50.274876,68.766284,0.679893,0.663971,9,0.228916,-0.273797,1.362478,-0.349034,1.335285,-0.171930,1.242365
